T13,Gross Value added by kind of economic activity,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
32,Argentina,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",8.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
32,Argentina,1995,Industry (% of gross value added),26.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
32,Argentina,2005,Industry (% of gross value added),33.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
32,Argentina,2010,Industry (% of gross value added),30.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
32,Argentina,2015,Industry (% of gross value added),27.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
32,Argentina,2018,Industry (% of gross value added),27.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
32,Argentina,2019,Industry (% of gross value added),27.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
32,Argentina,1995,Services (% of gross value added),68.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
32,Argentina,2005,Services (% of gross value added),57.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
32,Argentina,2010,Services (% of gross value added),61.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
32,Argentina,2015,Services (% of gross value added),66.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
32,Argentina,2018,Services (% of gross value added),65.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
